number,available_bikes,available_bike_stands,last_update
12,0,20,"2025-02-22 16:35:23"
12,0,20,"2025-02-22 16:55:31"
12,0,20,"2025-02-22 17:05:34"
12,0,20,"2025-02-22 17:15:38"
12,0,20,"2025-02-22 17:45:49"
12,0,20,"2025-02-22 17:55:53"
12,0,20,"2025-02-22 18:05:57"
12,0,20,"2025-02-22 18:26:04"
12,0,20,"2025-02-22 18:36:08"
12,1,19,"2025-02-22 19:06:20"
12,1,19,"2025-02-22 19:26:27"
12,1,19,"2025-02-22 19:36:31"
12,2,18,"2025-02-22 19:56:40"
13,4,26,"2025-02-18 10:31:04"
13,4,26,"2025-02-18 10:51:11"
13,4,26,"2025-02-18 11:14:21"
13,8,22,"2025-02-18 12:31:49"
13,7,23,"2025-02-18 13:02:03"
13,7,23,"2025-02-18 13:12:06"
13,6,24,"2025-02-18 13:32:14"
13,0,30,"2025-02-18 19:24:24"
13,0,30,"2025-02-18 19:44:30"
13,0,30,"2025-02-22 07:50:52"
13,0,30,"2025-02-22 08:00:58"
13,0,30,"2025-02-22 08:11:03"
13,0,30,"2025-02-22 09:01:30"
13,0,30,"2025-02-22 09:11:36"
13,0,30,"2025-02-22 09:21:41"
13,0,30,"2025-02-22 09:41:52"
